{\rtf1\ansi\ansicpg1252\cocoartf2576
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fnil\fcharset0 Menlo-Regular;}
{\colortbl;\red255\green255\blue255;\red255\green255\blue255;\red0\green0\blue0;}
{\*\expandedcolortbl;;\cssrgb\c100000\c100000\c100000;\cssrgb\c0\c0\c0;}
\margl1440\margr1440\vieww23580\viewh11460\viewkind0
\deftab720
\pard\pardeftab720\partightenfactor0

\f0\fs28 \cf0 \cb2 \expnd0\expndtw0\kerning0
,,,,,,,,Score,Score,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Downs,Downs,Downs,Downs,\
Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP\
1,Sun,September 10,boxscore,W,,@,San Francisco 49ers,23,3,14,25,171,2,1,0,0,6.8,6.8,56.0,87.2,38,116,3.1,0,3,3,2,2,3,155,7,13,0,0,34:21\
2,Sun,September 17,boxscore,W,,,Buffalo Bills,9,3,20,32,178,0,0,6,50,7.1,4.7,62.5,77.3,28,77,2.8,0,3,3,0,0,6,249,7,16,0,0,38:53\
3,Sun,September 24,boxscore,L,,,New Orleans Saints,13,34,19,33,156,0,3,4,28,5.6,4.2,57.6,31.9,22,132,6.0,1,2,2,1,1,3,129,7,14,0,0,28:51\
4,Sun,October 1,boxscore,W,,@,New England Patriots,33,30,22,29,304,3,1,2,12,10.9,9.8,75.9,129.1,29,140,4.8,1,2,2,3,4,1,35,6,9,0,0,28:53\
5,Sun,October 8,boxscore,W,,@,Detroit Lions,27,24,26,33,334,3,0,3,21,10.8,9.3,78.8,139.1,28,28,1.0,0,2,3,3,3,5,234,7,16,0,0,35:23\
6,Thu,October 12,boxscore,L,,,Philadelphia Eagles,23,28,28,52,225,1,3,2,14,4.6,4.2,53.8,47.4,25,80,3.2,1,3,3,2,2,3,136,4,16,1,3,31:26\
7,Sun,October 22,boxscore,L,,@,Chicago Bears,3,17,21,34,185,0,2,5,26,6.2,4.7,61.8,51.7,30,108,3.6,0,1,1,0,0,5,263,6,15,0,1,38:35\
8,Sun,October 29,boxscore,W,,@,Tampa Bay Buccaneers,17,3,18,32,154,1,1,0,0,4.8,4.8,56.3,66.4,31,100,3.2,1,1,1,2,2,7,353,8,17,0,0,32:11\
9,Sun,November 5,boxscore,W,,,Atlanta Falcons,20,17,13,24,129,0,0,1,8,5.7,5.2,54.2,69.6,38,201,5.3,2,2,2,2,2,5,249,4,13,1,2,32:52\
10,Mon,November 13,boxscore,W,,,Miami Dolphins,45,21,21,35,254,4,0,0,0,7.3,7.3,60.0,120.4,36,294,8.2,2,1,1,6,6,2,85,11,14,0,0,35:39\
12,Sun,November 26,boxscore,W,,@,New York Jets,35,27,11,28,154,0,0,3,14,6.0,5.0,39.3,57.7,33,145,4.4,2,3,3,0,1,6,284,3,14,1,1,31:50\
13,Sun,December 3,boxscore,L,,@,New Orleans Saints,21,31,17,28,167,2,0,2,16,6.5,5.6,60.7,101.3,23,112,4.9,1,0,0,3,3,5,215,3,10,0,2,26:39\
14,Sun,December 10,boxscore,W,,,Minnesota Vikings,31,24,13,25,129,1,1,2,8,5.5,4.8,52.0,63.6,36,216,6.0,3,1,1,4,4,6,260,5,15,0,0,31:18\
15,Sun,December 17,boxscore,W,,,Green Bay Packers,31,24,20,31,236,4,0,1,6,7.8,7.4,64.5,127.2,38,151,4.0,0,1,1,4,4,4,174,6,12,0,0,33:57\
16,Sun,December 24,boxscore,W,,,Tampa Bay Buccaneers,22,19,16,26,140,0,1,2,20,6.2,5.0,61.5,59.8,31,115,3.7,1,3,3,1,2,3,119,4,13,1,1,30:30\
17,Sun,December 31,boxscore,L,,@,Atlanta Falcons,10,22,14,34,161,1,3,2,19,5.3,4.5,41.2,29.2,24,87,3.6,0,1,1,1,1,7,329,5,15,1,1,25:18}
