{\rtf1\ansi\ansicpg1252\cocoartf2576
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fnil\fcharset0 Menlo-Regular;}
{\colortbl;\red255\green255\blue255;\red255\green255\blue255;\red0\green0\blue0;}
{\*\expandedcolortbl;;\cssrgb\c100000\c100000\c100000;\cssrgb\c0\c0\c0;}
\margl1440\margr1440\vieww22540\viewh10880\viewkind0
\deftab720
\pard\pardeftab720\partightenfactor0

\f0\fs28 \cf0 \cb2 \expnd0\expndtw0\kerning0
,,,,,,,,Score,Score,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Downs,Downs,Downs,Downs,\
Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP\
1,Sun,September 8,boxscore,L,,,Los Angeles Rams,27,30,25,38,216,0,1,3,23,6.3,5.3,65.8,69.6,23,127,5.5,3,2,3,3,3,4,193,5,11,0,0,26:44\
2,Thu,September 12,boxscore,L,,,Tampa Bay Buccaneers,14,20,25,51,313,0,0,3,20,6.5,5.8,49.0,68.5,19,39,2.1,0,4,4,0,0,5,253,3,14,0,3,26:07\
3,Sun,September 22,boxscore,W,,@,Arizona Cardinals,38,20,19,26,240,4,0,2,21,10.0,8.6,73.1,141.0,31,173,5.6,1,1,1,5,5,3,145,4,10,0,0,28:16\
4,Sun,September 29,boxscore,W,,@,Houston Texans,16,10,24,34,203,0,0,3,29,6.8,5.5,70.6,85.8,28,94,3.4,1,3,3,1,1,4,158,7,14,0,0,30:38\
5,Sun,October 6,boxscore,W,,,Jacksonville Jaguars,34,27,17,31,160,1,0,3,21,5.8,4.7,54.8,80.0,27,285,10.6,3,0,2,4,5,5,238,4,12,0,1,27:36\
6,Sun,October 13,boxscore,W,,@,Tampa Bay Buccaneers,37,26,20,32,209,2,0,2,18,7.1,6.1,62.5,102.2,29,59,2.0,2,3,5,4,4,7,350,3,15,1,1,31:10\
8,Sun,October 27,boxscore,L,,@,San Francisco 49ers,13,51,19,37,100,0,3,7,58,4.3,2.3,51.4,23.6,19,130,6.8,1,1,1,0,0,7,313,2,13,0,2,26:59\
9,Sun,November 3,boxscore,W,,,Tennessee Titans,30,20,17,32,214,2,1,3,18,7.3,6.1,53.1,82.0,33,156,4.7,2,1,2,3,4,4,155,5,14,2,2,33:17\
10,Sun,November 10,boxscore,L,,@,Green Bay Packers,16,24,28,43,281,1,1,3,26,7.1,6.1,65.1,81.6,23,120,5.2,1,1,1,1,1,3,122,4,10,1,1,28:38\
11,Sun,November 17,boxscore,L,,,Atlanta Falcons,3,29,31,50,270,0,4,5,55,6.5,4.9,62.0,42.9,15,77,5.1,0,1,1,0,0,4,187,2,14,3,5,28:34\
12,Sun,November 24,boxscore,L,,@,New Orleans Saints,31,34,23,36,230,3,0,4,26,7.1,5.8,63.9,109.7,29,121,4.2,1,2,3,1,3,3,126,5,13,1,1,31:33\
13,Sun,December 1,boxscore,L,,,Washington Redskins,21,29,27,46,213,2,1,7,65,6.0,4.0,58.7,75.7,20,65,3.3,1,0,0,3,3,8,338,5,16,1,2,29:23\
14,Sun,December 8,boxscore,L,,@,Atlanta Falcons,20,40,28,41,245,1,2,5,48,7.1,5.3,68.3,71.7,22,100,4.5,1,2,2,2,2,4,185,3,10,0,0,28:16\
15,Sun,December 15,boxscore,L,,,Seattle Seahawks,24,30,25,42,269,1,3,1,8,6.6,6.3,59.5,56.5,29,145,5.0,2,1,1,3,3,4,183,5,11,0,0,28:42\
16,Sun,December 22,boxscore,L,,@,Indianapolis Colts,6,38,28,45,199,0,3,5,37,5.2,4.0,62.2,44.6,21,87,4.1,0,2,2,0,0,3,159,4,14,2,4,32:21\
17,Sun,December 29,boxscore,L,,,New Orleans Saints,10,42,26,49,288,0,2,2,11,6.1,5.6,53.1,53.8,18,41,2.3,1,1,1,1,1,7,347,5,16,1,2,24:20}
