{\rtf1\ansi\ansicpg1252\cocoartf2576
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fnil\fcharset0 Menlo-Regular;}
{\colortbl;\red255\green255\blue255;\red255\green255\blue255;\red0\green0\blue0;}
{\*\expandedcolortbl;;\cssrgb\c100000\c100000\c100000;\cssrgb\c0\c0\c0;}
\margl1440\margr1440\vieww14180\viewh7200\viewkind0
\deftab720
\pard\pardeftab720\partightenfactor0

\f0\fs28 \cf0 \cb2 \expnd0\expndtw0\kerning0
,,,,,,,,Score,Score,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Downs,Downs,Downs,Downs,\
Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP\
1,Sun,September 1,boxscore,W,,,Atlanta Falcons,29,6,17,31,186,2,0,4,12,6.4,5.3,54.8,94.3,37,129,3.5,0,5,5,2,2,3,105,7,15,0,0,33:10\
2,Sun,September 8,boxscore,W,,@,New Orleans Saints,22,20,13,21,142,0,1,3,29,8.1,5.9,61.9,62.0,34,83,2.4,0,5,5,1,1,4,148,4,14,1,1,31:49\
4,Sun,September 22,boxscore,W,,,San Francisco 49ers,23,7,22,31,272,2,1,3,18,9.4,8.0,71.0,105.8,29,117,4.0,0,3,3,2,2,4,168,6,13,0,0,33:26\
5,Sun,September 29,boxscore,L,,@,Jacksonville Jaguars,14,24,17,37,215,2,0,5,46,7.1,5.1,45.9,82.6,21,57,2.7,0,0,1,0,1,7,301,5,13,0,0,25:01\
6,Sun,October 6,boxscore,L,,@,Minnesota Vikings,12,14,15,30,155,0,4,1,0,5.2,5.0,50.0,25.7,28,101,3.6,1,1,1,1,1,4,156,3,12,1,2,26:04\
7,Sun,October 13,boxscore,W,,,St. Louis Rams,45,13,11,18,177,3,1,2,19,10.9,8.9,61.1,110.4,42,184,4.4,1,1,3,6,6,1,46,5,13,3,3,33:43\
8,Sun,October 20,boxscore,W,,,New Orleans Saints,19,7,14,30,155,1,0,3,21,5.9,4.7,46.7,73.6,42,159,3.8,0,4,5,1,1,3,132,8,18,0,2,38:22\
9,Sun,October 27,boxscore,L,,@,Philadelphia Eagles,9,20,16,34,239,0,0,1,9,7.3,6.8,47.1,70.6,26,61,2.3,0,3,4,0,0,7,273,2,15,0,2,26:39\
10,Sun,November 3,boxscore,L,,@,Atlanta Falcons,17,20,21,36,243,1,0,6,48,8.1,5.8,58.3,88.1,21,104,5.0,1,1,1,2,2,7,322,6,16,0,1,27:01\
11,Sun,November 10,boxscore,W,,,New York Giants,27,17,20,34,208,1,1,0,0,6.1,6.1,58.8,74.1,40,142,3.6,2,2,3,3,3,5,185,5,14,0,1,35:25\
12,Sun,November 17,boxscore,W,,@,St. Louis Rams,20,10,13,28,108,1,1,4,22,4.6,3.4,46.4,53.9,33,147,4.5,1,2,2,2,2,5,205,7,14,0,0,31:09\
13,Sun,November 24,boxscore,W,,@,Houston Oilers,31,6,11,18,160,3,0,1,5,9.2,8.4,61.1,129.6,30,94,3.1,0,1,1,4,4,6,270,4,10,0,0,24:36\
14,Sun,December 1,boxscore,W,,,Tampa Bay Buccaneers,24,0,14,24,83,0,0,0,0,3.5,3.5,58.3,65.1,30,132,4.4,2,1,1,3,3,7,245,5,13,0,0,28:57\
15,Sun,December 8,boxscore,W,,@,San Francisco 49ers,30,24,22,37,324,3,0,1,3,8.8,8.5,59.5,115.1,33,58,1.8,0,3,5,3,3,3,138,7,17,0,0,32:30\
16,Sun,December 15,boxscore,W,,,Baltimore Ravens,27,16,26,39,268,2,2,0,0,6.9,6.9,66.7,82.0,28,82,2.9,1,2,2,3,3,5,190,5,13,1,1,34:15\
17,Sun,December 22,boxscore,W,,,Pittsburgh Steelers,18,14,21,39,148,1,0,2,18,4.3,3.6,53.8,71.3,28,79,2.8,0,3,3,1,1,7,266,5,16,0,0,30:37}
