{\rtf1\ansi\ansicpg1252\cocoartf2576
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fnil\fcharset0 Menlo-Regular;}
{\colortbl;\red255\green255\blue255;\red255\green255\blue255;\red0\green0\blue0;}
{\*\expandedcolortbl;;\cssrgb\c100000\c100000\c100000;\cssrgb\c0\c0\c0;}
\margl1440\margr1440\vieww16220\viewh7200\viewkind0
\deftab720
\pard\pardeftab720\partightenfactor0

\f0\fs28 \cf0 \cb2 \expnd0\expndtw0\kerning0
,,,,,,,,Score,Score,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Downs,Downs,Downs,Downs,\
Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP\
1,Sun,September 3,boxscore,L,,@,Washington Redskins,17,20,17,26,124,1,0,6,59,7.0,3.9,65.4,89.3,20,112,5.6,0,1,2,2,2,5,215,2,11,1,1,26:46\
2,Sun,September 10,boxscore,W,,@,San Francisco 49ers,38,22,24,32,352,3,1,2,12,11.4,10.4,75.0,128.6,34,98,2.9,2,1,1,5,5,3,93,6,13,1,1,36:07\
3,Sun,September 17,boxscore,L,,,Atlanta Falcons,10,15,21,38,225,1,2,4,16,6.3,5.4,55.3,59.6,16,59,3.7,0,1,2,1,1,5,145,4,12,0,1,26:46\
5,Sun,October 1,boxscore,L,OT,,Dallas Cowboys,13,16,17,29,153,0,0,1,8,5.6,5.1,58.6,72.9,29,119,4.1,1,2,2,1,1,3,120,6,14,2,4,27:49\
6,Sun,October 8,boxscore,W,,,Seattle Seahawks,26,3,27,39,322,2,1,2,10,8.5,7.9,69.2,100.6,33,125,3.8,0,4,5,2,2,2,72,4,11,0,0,39:40\
7,Sun,October 15,boxscore,L,,@,New Orleans Saints,6,24,15,31,131,0,1,8,41,5.5,3.4,48.4,46.6,12,10,0.8,0,2,2,0,0,9,297,3,14,0,1,24:02\
8,Sun,October 22,boxscore,W,,,San Francisco 49ers,34,16,28,44,292,3,0,3,17,7.0,6.2,63.6,105.5,25,98,3.9,0,2,2,4,4,2,84,10,14,0,0,33:37\
9,Sun,October 29,boxscore,L,,@,Atlanta Falcons,12,13,21,41,179,0,3,5,23,4.9,3.9,51.2,32.5,20,30,1.5,0,4,4,0,0,3,156,4,13,1,2,28:23\
10,Sun,November 5,boxscore,W,,@,St. Louis Rams,27,24,15,25,178,2,1,5,36,8.6,5.9,60.0,91.7,24,90,3.8,0,4,4,1,1,2,88,2,10,1,1,28:35\
11,Sun,November 12,boxscore,L,,,New Orleans Saints,10,20,24,42,258,1,2,8,37,7.0,5.2,57.1,63.4,17,53,3.1,0,1,1,1,1,3,123,8,14,1,1,31:23\
12,Sun,November 19,boxscore,L,,@,Minnesota Vikings,17,31,26,44,252,0,2,5,20,6.2,5.1,59.1,56.3,26,78,3.0,2,1,1,2,2,4,144,5,11,0,1,33:09\
13,Mon,November 27,boxscore,W,,,Green Bay Packers,31,14,22,37,223,3,1,2,20,6.6,5.7,59.5,92.5,31,133,4.3,1,1,1,4,4,5,190,6,13,0,0,31:57\
14,Sun,December 3,boxscore,W,,,St. Louis Rams,16,3,20,30,169,0,2,7,26,6.5,4.6,66.7,53.3,33,68,2.1,0,3,3,1,1,4,124,7,16,1,1,37:55\
15,Sun,December 10,boxscore,L,,@,Kansas City Chiefs,14,15,23,31,234,1,1,6,18,8.1,6.3,74.2,92.7,16,23,1.4,1,0,1,2,2,5,210,2,8,0,0,27:54\
16,Sun,December 17,boxscore,W,,,San Diego Chargers,30,22,18,40,158,2,1,3,22,4.5,3.7,45.0,62.3,15,11,0.7,0,1,1,3,3,8,312,4,14,0,0,24:48\
17,Sun,December 24,boxscore,L,,@,Oakland Raiders,9,52,22,37,218,0,1,2,17,6.4,5.6,59.5,64.9,12,79,6.6,0,3,3,0,0,3,90,5,10,0,0,21:36}
