{\rtf1\ansi\ansicpg1252\cocoartf2576
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fnil\fcharset0 Menlo-Regular;}
{\colortbl;\red255\green255\blue255;\red255\green255\blue255;\red0\green0\blue0;}
{\*\expandedcolortbl;;\cssrgb\c100000\c100000\c100000;\cssrgb\c0\c0\c0;}
\margl1440\margr1440\vieww17620\viewh7200\viewkind0
\deftab720
\pard\pardeftab720\partightenfactor0

\f0\fs28 \cf0 \cb2 \expnd0\expndtw0\kerning0
,,,,,,,,Score,Score,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Downs,Downs,Downs,Downs,\
Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP\
1,Sun,September 8,boxscore,W,,,Baltimore Ravens,10,7,12,19,120,1,0,2,16,7.2,5.7,63.2,98.6,36,145,4.0,0,1,2,1,1,7,297,5,14,0,0,33:51\
2,Sun,September 15,boxscore,W,,,Detroit Lions,31,7,21,33,310,1,0,0,0,9.4,9.4,63.6,104.4,30,75,2.5,2,1,3,4,4,8,394,3,14,0,0,33:43\
3,Sun,September 22,boxscore,W,,@,Minnesota Vikings,21,14,20,30,206,1,2,3,15,7.4,6.2,66.7,69.6,33,164,5.0,2,0,2,3,3,6,254,6,15,0,0,35:24\
4,Sun,September 29,boxscore,L,,@,Green Bay Packers,14,17,10,24,193,0,0,4,9,8.4,6.9,41.7,70.3,35,139,4.0,2,0,1,2,2,7,330,4,14,0,0,31:37\
5,Sun,October 6,boxscore,L,,,Arizona Cardinals,13,16,20,34,186,1,2,2,10,5.8,5.2,58.8,59.2,24,58,2.4,0,2,2,1,1,5,235,4,14,0,1,28:34\
6,Sun,October 13,boxscore,L,,@,Dallas Cowboys,13,14,16,27,198,1,0,0,0,7.3,7.3,59.3,94.4,34,110,3.2,0,2,3,1,1,7,330,5,16,0,0,33:36\
7,Sun,October 20,boxscore,L,,@,Atlanta Falcons,0,30,9,26,104,0,1,4,22,4.8,3.5,34.6,31.6,21,101,4.8,0,0,0,0,0,6,279,3,11,0,2,19:52\
8,Sun,October 27,boxscore,L,,,Tampa Bay Buccaneers,9,12,5,18,20,0,3,3,26,2.6,1.0,27.8,0.0,31,110,3.5,0,3,3,0,0,7,368,1,12,0,0,26:59\
10,Sun,November 10,boxscore,L,,,New Orleans Saints,24,34,23,40,296,2,1,2,14,7.8,7.0,57.5,87.1,27,100,3.7,1,1,1,3,3,8,349,4,17,1,2,32:21\
11,Sun,November 17,boxscore,L,,@,Tampa Bay Buccaneers,10,23,22,38,168,1,3,4,37,5.4,4.0,57.9,44.6,19,63,3.3,0,1,2,1,1,5,205,4,14,1,2,24:07\
12,Sun,November 24,boxscore,L,,,Atlanta Falcons,0,41,13,26,51,0,4,8,64,4.4,1.5,50.0,16.7,14,71,5.1,0,0,0,0,0,7,353,2,10,0,0,20:12\
13,Sun,December 1,boxscore,W,,@,Cleveland Browns,13,6,8,19,89,1,2,0,0,4.7,4.7,42.1,34.6,38,145,3.8,0,2,4,1,1,4,168,5,15,1,1,32:23\
14,Sun,December 8,boxscore,W,,,Cincinnati Bengals,52,31,21,29,319,3,1,0,0,11.0,11.0,72.4,128.4,29,82,2.8,1,0,0,6,6,3,120,5,9,0,1,28:52\
15,Sun,December 15,boxscore,L,,@,Pittsburgh Steelers,14,30,17,34,81,1,1,6,45,3.7,2.0,50.0,53.8,16,50,3.1,1,0,0,2,2,6,259,5,14,0,1,20:32\
16,Sun,December 22,boxscore,W,,,Chicago Bears,24,14,18,35,165,1,0,3,14,5.1,4.3,51.4,74.1,39,88,2.3,2,1,1,3,3,11,443,5,21,0,1,36:50\
17,Sun,December 29,boxscore,W,,@,New Orleans Saints,10,6,20,32,188,1,2,3,15,6.3,5.4,62.5,63.0,26,85,3.3,0,1,1,1,1,8,351,3,14,1,1,30:20}
